elapsed_time,lap_number,speed_kph,gear,rpm,throttle,brake,steering,pos_x,pos_y,pos_z,acc_x,acc_y,acc_z,sector,lap_dist,path_lateral,track_edge,surface_fl,surface_fr,surface_rl,surface_rr,lap_valid
221.7825,1,62.71746459978767,1,3953.153792673667,0.2878207266330719,0.0,0.6820497512817383,-350.74749755859375,28.546249389648438,969.6759033203125,-13.978099822998047,0.3608993887901306,-1.2440509796142578,0,277.7007751464844,6.736855506896973,10.324999809265137,0,0,0,0,True
221.8825,1,63.292182463568075,1,4082.749182715004,0.2868914041519165,0.0,0.5803409814834595,-349.1808776855469,28.553050994873047,970.4552001953125,-13.074389457702637,0.08877682685852051,-1.5548315048217773,0,283.0925598144531,5.594291687011719,10.300000190734863,0,0,0,0,True
221.98250000000002,1,64.11648900588733,1,4117.461551901005,0.3280847353935241,0.0,0.43135467171669006,-347.5435791015625,28.55301284790039,971.1235961914062,-11.704659461975098,-0.7040975093841553,-2.61504864692688,0,283.0925598144531,5.594291687011719,10.300000190734863,0,0,0,0,True
222.0825,1,65.12920575752023,1,4169.265495044641,0.48057129979133606,0.0,0.33572226762771606,-345.8413391113281,28.540416717529297,971.691162109375,-10.759004592895508,-0.6521317362785339,-2.5734002590179443,0,287.7970886230469,4.022579193115234,10.100000381469727,0,0,0,0,True
222.1825,1,66.30827160554966,1,4227.47080076144,0.40747553825378413,0.0,0.3723413646221161,-344.0794372558594,28.51263427734375,972.1650390625,-10.869667053222656,-0.6453797221183777,-3.2903964519500732,0,287.7970886230469,4.022579193115234,10.100000381469727,0,0,0,0,True
222.2825,1,67.59289925694931,1,4358.6436548658085,0.520127495765686,0.0,0.3772071897983551,-342.2593994140625,28.47045135498047,972.5424194335938,-11.13586711883545,-0.3493773937225342,-3.779904842376709,0,291.77313232421875,2.1308746337890625,10.149999618530273,0,0,0,0,True
222.3825,1,69.15148478834256,1,4444.698355690579,0.5778072099685668,0.0,0.3035944104194641,-340.3816223144531,28.41793441772461,972.818603515625,-10.679179191589355,-0.1698424220085144,-4.530745506286621,0,291.77313232421875,2.1308746337890625,10.149999618530273,0,0,0,0,True
222.48250000000002,1,70.92212549288598,1,4516.51741232267,0.598261342048645,0.0,0.1949036568403244,-338.4461364746094,28.357210159301758,972.99609375,-8.83195972442627,0.24480170011520386,-5.282969951629639,0,295.1884460449219,0.13952308893203735,9.770999908447266,0,0,0,0,True
222.5825,1,73.10497896704253,1,4674.758652170716,0.897254228591919,0.0,0.18475523591041565,-336.4503479003906,28.29103660583496,973.0897216796875,-6.997541427612305,-0.009069085121154785,-7.036014080047607,0,295.1884460449219,0.13952308893203735,9.770999908447266,0,0,0,0,True
222.6825,1,75.65519333993447,1,4807.710342528684,1.0,0.0,0.24502132833003998,-334.3857727050781,28.21893310546875,973.1126708984375,-8.09008502960205,0.03864866495132446,-5.999913215637207,0,298.7063903808594,-1.6902122497558594,-9.050000190734863,0,0,0,0,True
222.8025,1,78.3519506370219,1,4986.508156834908,0.688,0.0,0.32741880416870117,-331.82073974609375,28.125614166259766,973.0331420898438,-9.73183536529541,-0.1824139952659607,-5.235219955444336,0,302.5128173828125,-3.505889654159546,-9.300000190734863,0,0,0,0,True
222.8825,1,79.90081512430655,1,5112.9768866264285,0.688,0.0,0.38292109966278076,-330.068359375,28.057373046875,972.9020385742188,-10.809014320373535,-0.19749116897583008,-4.882763385772705,0,302.5128173828125,-3.505889654159546,-9.300000190734863,0,0,0,0,True
223.0025,1,81.96799093380633,1,5319.897157896723,0.688,0.0,0.38377195596694946,-327.3931884765625,27.943782806396484,972.5709228515625,-11.50467586517334,-0.42835134267807007,-4.651051998138428,0,306.73992919921875,-4.9710307121276855,-9.300000190734863,0,0,0,0,True
223.0825,1,83.33728213937506,1,5429.444212409483,0.688,0.0,0.30227401852607727,-325.5860290527344,27.860227584838867,972.2540893554688,-11.473115921020508,-0.6074774861335754,-4.886382102966309,0,306.73992919921875,-4.9710307121276855,-9.300000190734863,0,0,0,0,True
223.1825,1,85.01906562965189,1,5596.616352622508,0.688,0.0,0.14807026088237762,-323.3061828613281,27.745744705200195,971.7484130859375,-10.59012222290039,-0.7794424891471863,-5.101848602294922,0,306.73992919921875,-4.9710307121276855,-9.300000190734863,0,0,0,0,True
223.2825,1,86.74910534598787,1,5699.015422923553,0.688,0.0,0.0867801383137703,-321.007568359375,27.621078491210938,971.1224365234375,-11.354111671447754,-0.26385289430618286,-5.3496809005737305,0,311.2854919433594,-6.040816307067871,-9.300000190734863,0,0,0,0,True
223.3825,1,88.46634146783283,1,5794.729286203368,0.688,0.0,0.04087686538696289,-318.6965637207031,27.48841094970703,970.3721923828125,-11.164140701293945,-0.10929954051971436,-5.160290241241455,0,311.2854919433594,-6.040816307067871,-9.300000190734863,0,0,0,0,True
223.48250000000002,1,90.25612965171842,1,5833.879420538423,0.688,0.0,0.00734192319214344,-316.3777160644531,27.347827911376953,969.498779296875,-10.629414558410645,-0.6942560076713562,-5.355809688568115,0,316.0869445800781,-6.6737799644470215,-9.125,0,0,0,0,True
223.5825,1,92.15189690220302,1,5905.035784896482,1.0,0.0,-0.010374785400927067,-314.0514221191406,27.196842193603516,968.5083618164062,-8.740673065185547,0.02713996171951294,-5.988979816436768,0,316.0869445800781,-6.6737799644470215,-9.125,0,0,0,0,True
223.6825,1,94.78486780921266,1,5988.840421056436,1.0,0.0,-0.010551863349974155,-311.7039794921875,27.037845611572266,967.41650390625,-4.6027631759643555,0.1250128149986267,-8.426651000976562,0,321.1002197265625,-6.891550064086914,-9.25,0,0,0,0,True
223.7825,1,97.69132681532734,1,6118.383063823542,1.0,0.0,0.023543527349829674,-309.3034362792969,26.87286949157715,966.25048828125,-1.0316882133483887,0.27679508924484253,-7.869390964508057,0,321.1002197265625,-6.891550064086914,-9.25,0,0,0,0,True
223.9025,1,101.03487335572696,1,6341.883464486421,1.0,0.0,0.0066992552019655704,-306.3371887207031,26.668685913085938,964.7894287109375,-1.0659480094909668,0.014656111598014832,-7.557581901550293,0,326.3916015625,-6.831470489501953,-9.25,0,0,0,0,True
223.98250000000002,1,103.24364111911456,1,6449.482075488111,1.0,0.0,-0.010723843239247799,-304.30780029296875,26.52774429321289,963.7824096679688,-0.2364509105682373,-0.20261250436306,-7.745303630828857,0,326.3916015625,-6.831470489501953,-9.25,0,0,0,0,True
224.1025,1,106.43970090636675,1,6654.409024351028,1.0,0.0,-0.014980217441916466,-301.18316650390625,26.31003761291504,962.2310180664062,0.8199896812438965,-0.0077592432498931885,-7.104679107666016,0,332.0057373046875,-6.69761323928833,-9.22499942779541,0,0,0,0,True
